Course,Day,Date,Start Time,End Time,Start,End
RPIE-313 Advanced AutoCAD & Revit,Sunday,2025-06-01,12:00,14:00,2025-06-01 12:00:00,2025-06-01 14:00:00
RPIE-313 Advanced AutoCAD & Revit,Sunday,2025-06-08,12:00,14:00,2025-06-08 12:00:00,2025-06-08 14:00:00
RPIE-313 Advanced AutoCAD & Revit,Sunday,2025-06-15,12:00,14:00,2025-06-15 12:00:00,2025-06-15 14:00:00
RPIE-313 Advanced AutoCAD & Revit,Sunday,2025-06-22,12:00,14:00,2025-06-22 12:00:00,2025-06-22 14:00:00
RPIE-301 Adv. Project Management: Case Study,Monday,2025-06-02,18:00,21:00,2025-06-02 18:00:00,2025-06-02 21:00:00
RPIE-301 Adv. Project Management: Case Study,Monday,2025-06-09,18:00,21:00,2025-06-09 18:00:00,2025-06-09 21:00:00
RPIE-301 Adv. Project Management: Case Study,Monday,2025-06-16,18:00,21:00,2025-06-16 18:00:00,2025-06-16 21:00:00
RPIE-301 Adv. Project Management: Case Study,Monday,2025-06-23,18:00,21:00,2025-06-23 18:00:00,2025-06-23 21:00:00
RPIE-307 Projects: Python,Saturday,2025-05-31,11:00,13:00,2025-05-31 11:00:00,2025-05-31 13:00:00
RPIE-307 Projects: Python,Saturday,2025-06-07,11:00,13:00,2025-06-07 11:00:00,2025-06-07 13:00:00
RPIE-307 Projects: Python,Saturday,2025-06-14,11:00,13:00,2025-06-14 11:00:00,2025-06-14 13:00:00
RPIE-307 Projects: Python,Saturday,2025-06-21,11:00,13:00,2025-06-21 11:00:00,2025-06-21 13:00:00
RPIE-315 Project Management: Navigating the Human Component,Tuesday,2025-05-27,18:00,20:00,2025-05-27 18:00:00,2025-05-27 20:00:00
RPIE-315 Project Management: Navigating the Human Component,Tuesday,2025-06-03,18:00,20:00,2025-06-03 18:00:00,2025-06-03 20:00:00
RPIE-315 Project Management: Navigating the Human Component,Tuesday,2025-06-10,18:00,20:00,2025-06-10 18:00:00,2025-06-10 20:00:00
RPIE-315 Project Management: Navigating the Human Component,Tuesday,2025-06-17,18:00,20:00,2025-06-17 18:00:00,2025-06-17 20:00:00
RPIE-314 Projects: Data Analysis,Monday,2025-06-09,20:00,22:00,2025-06-09 20:00:00,2025-06-09 22:00:00
RPIE-314 Projects: Data Analysis,Monday,2025-06-16,20:00,22:00,2025-06-16 20:00:00,2025-06-16 22:00:00
RPIE-314 Projects: Data Analysis,Monday,2025-06-23,20:00,22:00,2025-06-23 20:00:00,2025-06-23 22:00:00
RPIE-314 Projects: Data Analysis,Monday,2025-06-30,20:00,22:00,2025-06-30 20:00:00,2025-06-30 22:00:00
