Course,Day,Date,Start Time,End Time,Start,End
RPIE-171 Career Planning: Professional Development,Monday,2025-06-02,12:00,14:00,2025-06-02 12:00:00,2025-06-02 14:00:00
RPIE-171 Career Planning: Professional Development,Monday,2025-06-09,12:00,14:00,2025-06-09 12:00:00,2025-06-09 14:00:00
RPIE-171 Career Planning: Professional Development,Monday,2025-06-16,12:00,14:00,2025-06-16 12:00:00,2025-06-16 14:00:00
RPIE-171 Career Planning: Professional Development,Monday,2025-06-23,12:00,14:00,2025-06-23 12:00:00,2025-06-23 14:00:00
RPIE-235 Shaping a Career Narrative,Monday & Wednesday,2025-05-28,20:00,21:30,2025-05-28 20:00:00,2025-05-28 21:30:00
RPIE-235 Shaping a Career Narrative,Monday & Wednesday,2025-06-02,20:00,21:30,2025-06-02 20:00:00,2025-06-02 21:30:00
RPIE-235 Shaping a Career Narrative,Monday & Wednesday,2025-06-04,20:00,21:30,2025-06-04 20:00:00,2025-06-04 21:30:00
RPIE-235 Shaping a Career Narrative,Monday & Wednesday,2025-06-09,20:00,21:30,2025-06-09 20:00:00,2025-06-09 21:30:00
RPIE-235 Shaping a Career Narrative,Monday & Wednesday,2025-06-11,20:00,21:30,2025-06-11 20:00:00,2025-06-11 21:30:00
RPIE-235 Shaping a Career Narrative,Monday & Wednesday,2025-06-16,20:00,21:30,2025-06-16 20:00:00,2025-06-16 21:30:00
RPIE-235 Shaping a Career Narrative,Monday & Wednesday,2025-06-18,20:00,21:30,2025-06-18 20:00:00,2025-06-18 21:30:00
RPIE-235 Shaping a Career Narrative,Monday & Wednesday,2025-06-23,20:00,21:30,2025-06-23 20:00:00,2025-06-23 21:30:00
RPIE-235 Shaping a Career Narrative,Monday & Wednesday,2025-06-25,20:00,21:30,2025-06-25 20:00:00,2025-06-25 21:30:00
RPIE-235 Shaping a Career Narrative,Monday & Wednesday,2025-06-30,20:00,21:30,2025-06-30 20:00:00,2025-06-30 21:30:00
RPIE-170 Communicating Transferable Skills,Tuesday,2025-05-27,20:00,22:00,2025-05-27 20:00:00,2025-05-27 22:00:00
RPIE-170 Communicating Transferable Skills,Tuesday,2025-06-03,20:00,22:00,2025-06-03 20:00:00,2025-06-03 22:00:00
RPIE-170 Communicating Transferable Skills,Tuesday,2025-06-10,20:00,22:00,2025-06-10 20:00:00,2025-06-10 22:00:00
RPIE-170 Communicating Transferable Skills,Tuesday,2025-06-17,20:00,22:00,2025-06-17 20:00:00,2025-06-17 22:00:00
RPIE-248 Career Success,Thursday,2025-05-29,16:00,18:00,2025-05-29 16:00:00,2025-05-29 18:00:00
RPIE-248 Career Success,Thursday,2025-06-05,16:00,18:00,2025-06-05 16:00:00,2025-06-05 18:00:00
RPIE-248 Career Success,Thursday,2025-06-12,16:00,18:00,2025-06-12 16:00:00,2025-06-12 18:00:00
RPIE-248 Career Success,Thursday,2025-06-26,16:00,18:00,2025-06-26 16:00:00,2025-06-26 18:00:00
RPIE-249 Int. Tech Writing: Career Narrative,Friday,2025-05-30,13:00,15:00,2025-05-30 13:00:00,2025-05-30 15:00:00
RPIE-249 Int. Tech Writing: Career Narrative,Friday,2025-06-06,13:00,15:00,2025-06-06 13:00:00,2025-06-06 15:00:00
RPIE-249 Int. Tech Writing: Career Narrative,Friday,2025-06-13,13:00,15:00,2025-06-13 13:00:00,2025-06-13 15:00:00
RPIE-249 Int. Tech Writing: Career Narrative,Friday,2025-06-20,13:00,15:00,2025-06-20 13:00:00,2025-06-20 15:00:00
RPIE-317 Exam Preparation,Sunday,2025-06-29,12:00,14:00,2025-06-29 12:00:00,2025-06-29 14:00:00
RPIE-172 Professional Communication: Online Networking,Sunday,2025-06-22,12:00,14:00,2025-06-22 12:00:00,2025-06-22 14:00:00
RPIE-139 Developing Professional Vocabulary,Monday,2025-06-02,18:00,20:00,2025-06-02 18:00:00,2025-06-02 20:00:00
RPIE-139 Developing Professional Vocabulary,Monday,2025-06-09,18:00,20:00,2025-06-09 18:00:00,2025-06-09 20:00:00
RPIE-139 Developing Professional Vocabulary,Monday,2025-06-16,18:00,20:00,2025-06-16 18:00:00,2025-06-16 20:00:00
RPIE-139 Developing Professional Vocabulary,Monday,2025-06-23,18:00,20:00,2025-06-23 18:00:00,2025-06-23 20:00:00
