Course,Day,Date,Start Time,End Time,Start,End
RPIE-128 Beginning Python,Saturday,2025-05-31,09:00,11:00,2025-05-31 09:00:00,2025-05-31 11:00:00
RPIE-128 Beginning Python,Saturday,2025-06-07,09:00,11:00,2025-06-07 09:00:00,2025-06-07 11:00:00
RPIE-128 Beginning Python,Saturday,2025-06-14,09:00,11:00,2025-06-14 09:00:00,2025-06-14 11:00:00
RPIE-128 Beginning Python,Saturday,2025-06-21,09:00,11:00,2025-06-21 09:00:00,2025-06-21 11:00:00
RPIE-161 Sustainability: SDG Goals,Sunday,2025-06-08,12:00,14:00,2025-06-08 12:00:00,2025-06-08 14:00:00
RPIE-161 Sustainability: SDG Goals,Sunday,2025-06-15,12:00,14:00,2025-06-15 12:00:00,2025-06-15 14:00:00
RPIE-161 Sustainability: SDG Goals,Sunday,2025-06-22,12:00,14:00,2025-06-22 12:00:00,2025-06-22 14:00:00
RPIE-161 Sustainability: SDG Goals,Sunday,2025-06-29,12:00,14:00,2025-06-29 12:00:00,2025-06-29 14:00:00
RPIE-129 Fundamentals of AutoCAD,Thursday,2025-05-29,18:00,20:00,2025-05-29 18:00:00,2025-05-29 20:00:00
RPIE-129 Fundamentals of AutoCAD,Thursday,2025-06-05,18:00,20:00,2025-06-05 18:00:00,2025-06-05 20:00:00
RPIE-129 Fundamentals of AutoCAD,Thursday,2025-06-12,18:00,20:00,2025-06-12 18:00:00,2025-06-12 20:00:00
RPIE-129 Fundamentals of AutoCAD,Thursday,2025-06-26,18:00,20:00,2025-06-26 18:00:00,2025-06-26 20:00:00
RPIE-162 Linux for Cyber Security,Thursday,2025-05-29,20:00,22:00,2025-05-29 20:00:00,2025-05-29 22:00:00
RPIE-162 Linux for Cyber Security,Thursday,2025-06-05,20:00,22:00,2025-06-05 20:00:00,2025-06-05 22:00:00
RPIE-162 Linux for Cyber Security,Thursday,2025-06-12,20:00,22:00,2025-06-12 20:00:00,2025-06-12 22:00:00
RPIE-162 Linux for Cyber Security,Thursday,2025-06-26,20:00,22:00,2025-06-26 20:00:00,2025-06-26 22:00:00
RPIE-105 Introduction to Excel,Thursday,2025-05-29,18:00,20:00,2025-05-29 18:00:00,2025-05-29 20:00:00
RPIE-105 Introduction to Excel,Thursday,2025-06-05,18:00,20:00,2025-06-05 18:00:00,2025-06-05 20:00:00
RPIE-105 Introduction to Excel,Thursday,2025-06-12,18:00,20:00,2025-06-12 18:00:00,2025-06-12 20:00:00
RPIE-105 Introduction to Excel,Thursday,2025-06-26,18:00,20:00,2025-06-26 18:00:00,2025-06-26 20:00:00
RPIE-239 Web Design,Wednesday,2025-06-04,18:00,20:00,2025-06-04 18:00:00,2025-06-04 20:00:00
RPIE-239 Web Design,Wednesday,2025-06-11,18:00,20:00,2025-06-11 18:00:00,2025-06-11 20:00:00
RPIE-239 Web Design,Wednesday,2025-06-18,18:00,20:00,2025-06-18 18:00:00,2025-06-18 20:00:00
RPIE-239 Web Design,Wednesday,2025-06-25,18:00,20:00,2025-06-25 18:00:00,2025-06-25 20:00:00
RPIE-163 Data Science: Probability Review,Monday,2025-06-09,18:00,20:00,2025-06-09 18:00:00,2025-06-09 20:00:00
RPIE-163 Data Science: Probability Review,Monday,2025-06-16,18:00,20:00,2025-06-16 18:00:00,2025-06-16 20:00:00
RPIE-163 Data Science: Probability Review,Monday,2025-06-23,18:00,20:00,2025-06-23 18:00:00,2025-06-23 20:00:00
RPIE-163 Data Science: Probability Review,Monday,2025-06-30,18:00,20:00,2025-06-30 18:00:00,2025-06-30 20:00:00
