Course,Day,Date,Start Time,End Time,Start,End
RPIE-124 Imposter Syndrome: You Belong Here,Saturday,2025-06-21,13:00,15:00,2025-06-21 13:00:00,2025-06-21 15:00:00
RPIE-250 Developing your Portfolio,Wednesday,2025-06-04,20:00,22:00,2025-06-04 20:00:00,2025-06-04 22:00:00
RPIE-250 Developing your Portfolio,Wednesday,2025-06-11,20:00,22:00,2025-06-11 20:00:00,2025-06-11 22:00:00
RPIE-250 Developing your Portfolio,Wednesday,2025-06-18,20:00,22:00,2025-06-18 20:00:00,2025-06-18 22:00:00
RPIE-250 Developing your Portfolio,Wednesday,2025-06-25,20:00,22:00,2025-06-25 20:00:00,2025-06-25 22:00:00
RPIE-135 Conversation Partners,Saturday,2025-05-31,11:00,13:00,2025-05-31 11:00:00,2025-05-31 13:00:00
RPIE-135 Conversation Partners,Saturday,2025-06-07,11:00,13:00,2025-06-07 11:00:00,2025-06-07 13:00:00
RPIE-135 Conversation Partners,Saturday,2025-06-14,11:00,13:00,2025-06-14 11:00:00,2025-06-14 13:00:00
RPIE-135 Conversation Partners,Saturday,2025-06-21,11:00,13:00,2025-06-21 11:00:00,2025-06-21 13:00:00
RPIE-112 Professional Communication,Sunday,2025-06-08,10:00,12:00,2025-06-08 10:00:00,2025-06-08 12:00:00
RPIE-112 Professional Communication,Sunday,2025-06-15,10:00,12:00,2025-06-15 10:00:00,2025-06-15 12:00:00
RPIE-112 Professional Communication,Sunday,2025-06-22,10:00,12:00,2025-06-22 10:00:00,2025-06-22 12:00:00
RPIE-164 Digital Literacy Foundations,Saturday,2025-05-31,10:00,12:00,2025-05-31 10:00:00,2025-05-31 12:00:00
RPIE-164 Digital Literacy Foundations,Saturday,2025-06-07,10:00,12:00,2025-06-07 10:00:00,2025-06-07 12:00:00
RPIE-164 Digital Literacy Foundations,Saturday,2025-06-14,10:00,12:00,2025-06-14 10:00:00,2025-06-14 12:00:00
RPIE-164 Digital Literacy Foundations,Saturday,2025-06-21,10:00,12:00,2025-06-21 10:00:00,2025-06-21 12:00:00
RPIE-138 Developing Leadership Strategy,Saturday,2025-05-31,11:00,13:00,2025-05-31 11:00:00,2025-05-31 13:00:00
RPIE-138 Developing Leadership Strategy,Saturday,2025-06-07,11:00,13:00,2025-06-07 11:00:00,2025-06-07 13:00:00
RPIE-138 Developing Leadership Strategy,Saturday,2025-06-14,11:00,13:00,2025-06-14 11:00:00,2025-06-14 13:00:00
RPIE-138 Developing Leadership Strategy,Saturday,2025-06-21,11:00,13:00,2025-06-21 11:00:00,2025-06-21 13:00:00
RPIE-111 Presentation Fundamentals,Saturday,2025-06-14,13:00,15:00,2025-06-14 13:00:00,2025-06-14 15:00:00
RPIE-316 Adv Critical Thinking,Thursday,2025-05-29,13:00,15:00,2025-05-29 13:00:00,2025-05-29 15:00:00
RPIE-316 Adv Critical Thinking,Thursday,2025-06-05,13:00,15:00,2025-06-05 13:00:00,2025-06-05 15:00:00
RPIE-316 Adv Critical Thinking,Thursday,2025-06-12,13:00,15:00,2025-06-12 13:00:00,2025-06-12 15:00:00
RPIE-316 Adv Critical Thinking,Thursday,2025-06-26,13:00,15:00,2025-06-26 13:00:00,2025-06-26 15:00:00
